Radius (km),Threshold,Anchors,Positives,Historical rate (%),Folds scored,M ROC AUC,SD AUC,M Brier skill (%),SD Brier skill,Verdict
50.0,M ≥ 5,1702,433,25.440658049353704,5,0.5839301565192223,0.10389999916125453,3.412224303925833,6.156596913907075,Model beats the base rate
50.0,M ≥ 6,1702,98,5.7579318448883665,3,0.4107629702296713,0.24717796811733073,-16.46347649074234,23.543062935589564,No skill beyond the base rate
50.0,M ≥ 7,1702,8,0.4700352526439483,0,,,,,Too few events to model
100.0,M ≥ 5,2239,660,29.47744528807503,5,0.5417878698400924,0.08448956522094067,-0.5535344609145485,5.796544996569172,No skill beyond the base rate
100.0,M ≥ 6,2239,102,4.555605180884323,4,0.5915257532302686,0.1815734936405529,-69.39414911467871,117.6910512345607,No skill beyond the base rate
100.0,M ≥ 7,2239,10,0.4466279589102278,0,,,,,Too few events to model
200.0,M ≥ 5,4125,1479,35.85454545454546,5,0.5253437412383353,0.05704491476166042,-6.791532217952683,14.08168935081596,No skill beyond the base rate
200.0,M ≥ 6,4125,220,5.333333333333334,4,0.5200013494721616,0.08377753297591609,-1.0715462009283443,1.7166552486015076,No skill beyond the base rate
200.0,M ≥ 7,4125,18,0.4363636363636364,0,,,,,Too few events to model
